NAME_E,area,ha
Tweedsmuir Park,9878990282.76812,987899.0282768118
Tatshenshini-Alsek Park,9468976457.6795,946897.6457679499
Spatsizi Plateau Wilderness Park,6963806698.06609,696380.6698066088
Northern Rocky Mountains Park,6663852924.1195,666385.2924119502
Wells Gray Park,5404134478.70398,540413.4478703982
Dune Za Keyih Park [A.K.A. Frog-Gataga Park],3317304827.59511,331730.4827595111
Huchsduwachsdu Nuyem Jees/Kitlope Heritage Conservancy,3220496833.87347,322049.68338734703
Mount Edziza Park,2658254207.97207,265825.42079720704
Stikine River Park,2576100154.41572,257610.01544157162
Strathcona Park,2479590649.61853,247959.06496185265
Ts'Il?Os Park,2353657801.0336,235365.78010336033
Ne'Ah' Conservancy,2325696789.00574,232569.67890057448
Atlin/A Teix'Gi Aan Tlein Park,2298939692.29824,229893.9692298242
Mount Robson Park,2259019625.53263,225901.96255326257
Purcell Wilderness Conservancy Park,2018999970.73558,201899.99707355813
Garibaldi Park,1886610266.2848,188661.02662847968
Kakwa Park,1719772647.95891,171977.26479589133
Nakina-Inklin Rivers/Yawu Yaa Conservancy,1673338546.47445,167333.85464744474
Gwaii Haanas National Park Reserve Of Canada And Haida Heritage Site,1474911908.00734,147491.19080073413
Duu Guusd Conservancy,1449241216.34708,144924.1216347078
Bowron Lake Park,1397719326.87891,139771.93268789115
Kootenay National Park Of Canada,1379313766.87745,137931.37668774457
Glacier National Park Of Canada,1353760726.02824,135376.07260282425
Omineca Park,1323634421.24124,132363.44212412354
Kwadacha Wilderness Park,1303352262.34147,130335.22623414708
Yoho National Park Of Canada,1292495515.97215,129249.55159721547
Entiako Park,1260289108.88541,126028.91088854082
Todagin Wildlife Management Area,1225958341.86971,122595.83418697129
Cascade-Sutslem Conservancy,1215364073.11259,121536.40731125908
Cariboo Mountains Park,1134061875.5087,113406.1875508698
Finlay-Russel Park,1092277292.42466,109227.72924246616
Itcha Ilgachuz Park,1084893390.39711,108489.33903971121
Stein Valley Nlaka'Pamux Heritage Park,1084510831.63137,108451.08316313736
Tatlatui Park,1032357950.20978,103235.79502097752
Kitasoo Spirit Bear Conservancy,1027729514.66444,102772.95146644449
Graham-Laurier Park,999816276.944123,99981.6276944123
Denetiah Park,904310869.597992,90431.08695979917
Muncho Lake Park,861869567.367262,86186.9567367262
E.C. Manning Park,837874058.830594,83787.40588305941
Liard River Corridor Park,811686059.086703,81168.60590867032
Redfern-Keily Park,808004850.51054,80800.48505105403
Taku River/T'Aku Teix' Conservancy,805100872.541083,80510.08725410826
